PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
50084122,12657057,The Lost Dene,Multiple,Public Houses & Inns,"Bars, Pubs & Clubs",Leisure,M3 3EE,Manchester,53.4805,-2.24837,10/10/2011,,Spinningfield,Open,,Open,10/7/2020,14/7/2020
52539466,12539416,WHSmith,Multiple,Booksellers,"Books, Arts & Crafts, Stationery, Printers",Comparison,M3 3HF,Manchester,53.47988,-2.250781,27/2/2011,,Spinningfield,Open,,,9/7/2020,14/7/2020
52178046,12178046,Nando's,Multiple,Restaurant - Portuguese,Restaurants,Leisure,M3 3HF,Manchester,53.479564,-2.250075,18/11/2009,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50082319,10082319,John Rylands University Library Of Manchester,Independent,Libraries,Miscellaneous,Service,M3 3EH,Manchester,53.48027,-2.24856,26/7/2002,,Spinningfield,Open,,,10/7/2020,14/7/2020
50698058,10698058,Carluccio's,Multiple,Restaurant - Italian,Restaurants,Leisure,M3 3EB,Manchester,53.48011,-2.25022,7/1/2008,,Spinningfield,Open,,,9/7/2020,14/7/2020
52939750,13533005,Bannatyne Health Clubs,Multiple,Health Clubs,"Hairdressing, Health & Beauty",Service,M3 3JU,Manchester,53.47881,-2.25049,10/12/2018,,Spinningfield,Open,,,11/7/2020,14/7/2020
50959841,10959841,National Car Parks,Multiple,Car Parking & Garaging,Transport,Miscellaneous,M3 3BE,Manchester,53.47955,-2.25452,21/5/2008,,Spinningfield,Open,,,3/7/2020,26/2/2020
52003282,12003282,Pad Residential,Independent,Letting Agents,Estate Agents & Auctioneers,Service,M3 2RJ,Manchester,53.48081,-2.24863,12/10/2008,14/7/2020,Spinningfield,Open,,,9/7/2020,14/7/2020
52517962,12517962,Greggs,Multiple,Bakers Shops,Bakers,Convenience,M3 3AQ,Manchester,53.480125,-2.253886,27/1/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52539445,12539445,Phillip Stoner The Jeweller,Independent,Jewellers,"Jewellers, Clocks & Watches",Comparison,M3 3PL,Manchester,53.479564,-2.250075,1/3/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52623420,12691770,David Wayman,Independent,Florists,Florists & Garden,Comparison,M3 3HF,Manchester,53.479564,-2.250075,8/2/2012,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50082122,10082122,Flower Style,Independent,Florists,Florists & Garden,Comparison,M3 3JU,Manchester,53.478829,-2.250489,26/7/2002,,Spinningfield,Open,,Open,11/7/2020,14/7/2020
50083290,10083290,People's History Museum,Independent,Museums & Art Galleries,Entertainment,Leisure,M3 3ER,Manchester,53.48149,-2.25275,2/8/2002,,Spinningfield,Open,,,9/7/2020,14/7/2020
50084266,10084266,Granada Dry Cleaners,Independent,Dry Cleaners,"Launderettes, Dry Cleaners & Other",Service,M3 2RH,Manchester,53.48114,-2.24938,21/8/2002,,Spinningfield,Open,Open,Open,9/7/2020,14/7/2020
52532705,13392287,Randall & Aubin,Independent,Restaurant - British,Restaurants,Leisure,M3 2RJ,Manchester,53.4809,-2.24922,2/11/2017,,Spinningfield,Open,,,9/7/2020,14/7/2020
52375478,12375478,Cafe Istanbul,Independent,Restaurant - Turkish,Restaurants,Leisure,M3 2RH,Manchester,53.481159,-2.249086,6/7/2010,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52963549,13621821,Department Of Coffee And Social Affairs,Multiple,Coffee Shops,Cafes & Fast Food,Leisure,M3 3HF,Manchester,53.4795,-2.2496,7/8/2019,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52973609,13652750,20 Stories,Multiple,Restaurant - European,Restaurants,Leisure,M3 3EB,Manchester,53.47977,-2.2495,18/10/2019,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50529163,13680759,Wolf Italian Street Food,Multiple,Restaurant - Italian,Restaurants,Leisure,M3 3AP,Manchester,53.47977,-2.2495,13/12/2019,,Spinningfield,Open,,,9/7/2020,14/7/2020
52984887,13692163,The Tavern,Independent,Bars,"Bars, Pubs & Clubs",Leisure,M3 3EB,Manchester,53.47908,-2.25219,20/1/2020,14/7/2020,Spinningfield,Open,,,9/7/2020,14/7/2020
52539442,12539442,Mulberry,Multiple,Fashion Accessories,Fashion & General Clothing,Comparison,M3 3FL,Manchester,53.480207,-2.251474,1/3/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52342924,12658738,Hey Little Cupcake,Independent,Bakers Shops,Bakers,Convenience,M3 3HF,Manchester,53.479476,-2.251187,14/10/2011,,Spinningfield,Open,,,9/7/2020,14/7/2020
50083290,12831120,The Left Bank Cafe Bar,Independent,Cafe & Tearoom,Cafes & Fast Food,Leisure,M3 3ER,Manchester,53.48149,-2.25275,12/4/2013,,Spinningfield,Open,,,9/7/2020,14/7/2020
52648491,12831258,Mr.,Independent,Barbers,"Hairdressing, Health & Beauty",Service,M3 3AQ,Manchester,53.480117,-2.253904,12/4/2013,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52003278,13076513,The Dockyard,Independent,Bars,"Bars, Pubs & Clubs",Leisure,M3 3AD,Manchester,53.481213,-2.253742,13/5/2015,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52858570,13265174,The Refinery,Multiple,Restaurant & Bar,Restaurants,Leisure,M3 3AQ,Manchester,53.48075,-2.25359,19/12/2016,,Spinningfield,Open,,,9/7/2020,14/7/2020
52342370,13532075,Vanitas,Independent,Night Clubs,"Bars, Pubs & Clubs",Leisure,M3 3BT,Manchester,53.4812,-2.25012,7/12/2018,,Spinningfield,Open,,,9/7/2020,14/7/2020
52532501,13532083,Sunset,Independent,Restaurant & Bar,Restaurants,Leisure,M3 3AP,Manchester,53.48023,-2.25067,7/12/2018,,Spinningfield,Open,,,9/7/2020,14/7/2020
52623413,13532090,The Oast House,Independent,Bars,"Bars, Pubs & Clubs",Leisure,M3 3AY,Manchester,53.48034,-2.25142,7/12/2018,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52342370,13532668,Dishoom,Multiple,Restaurant - Indian,Restaurants,Leisure,M3 3BT,Manchester,53.4812,-2.25012,10/12/2018,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52939750,13547206,Speedflex,Multiple,Health Clubs,"Hairdressing, Health & Beauty",Service,M3 3JU,Manchester,53.47881,-2.25049,29/1/2019,10/3/2020,Spinningfield,Open,,Open,11/1/2020,22/2/2019
52690590,13020973,Thaikhun,Multiple,Restaurant - Thai,Restaurants,Leisure,M3 3HF,Manchester,53.47956,-2.25007,11/11/2014,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50081721,13031423,The Sawyer's Arms,Multiple,Public Houses & Inns,"Bars, Pubs & Clubs",Leisure,M3 2RP,Manchester,53.48075,-2.24823,11/12/2014,,Spinningfield,Open,,,9/7/2020,14/7/2020
50082748,13691739,Sevenoaks Sound & Vision,Multiple,Home Entertainment,Electrical Goods & Home Entertainment,Comparison,M3 3BW,Manchester,53.48099,-2.24966,17/1/2020,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52539443,13691846,Ruh Dental,Independent,Dentists,"Hairdressing, Health & Beauty",Service,M3 3HA,Manchester,53.480207,-2.251474,17/1/2020,,Spinningfield,Open,Open,Open,9/7/2020,14/7/2020
52984867,13692074,The One Thai Massage,Independent,Health Clubs,"Hairdressing, Health & Beauty",Service,M3 2RH,Manchester,53.48085,-2.24832,20/1/2020,,Spinningfield,Open,,,9/7/2020,14/7/2020
52991537,13712318,Ultimate Performance,Multiple,Health Clubs,"Hairdressing, Health & Beauty",Service,M3 3AQ,Manchester,53.48011,-2.25388,4/3/2020,,Spinningfield,Open,,,9/7/2020,14/7/2020
52984887,13747435,The Lawn Club,Independent,Bars,"Bars, Pubs & Clubs",Leisure,M3 3EB,Manchester,53.47908,-2.25219,14/7/2020,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
53002924,13750245,Hawksmoor,Multiple,Restaurant - British,Restaurants,Leisure,M3 3WB,Manchester,53.47906,-2.24932,21/7/2020,,Spinningfield,Open,,,21/7/2020,21/7/2020
53002925,13750246,One Eight Six,Independent,Barbers,"Hairdressing, Health & Beauty",Service,M3 3WB,Manchester,53.47903,-2.24924,21/7/2020,,Spinningfield,Open,,Open,21/7/2020,21/7/2020
50082884,10082884,Blacks,Multiple,Camping Goods & Outdoor Wear,"Sports, Toys, Cycle Shops & Hobbies",Comparison,M3 3NN,Manchester,53.47841,-2.24968,26/7/2002,,Spinningfield,Open,,Open,10/7/2020,14/7/2020
50084027,10084027,The Bridge,Independent,Public Houses & Inns,"Bars, Pubs & Clubs",Leisure,M3 3BW,Manchester,53.48095,-2.24941,19/8/2002,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50084218,10084218,Salon Maier,Independent,Hairpieces & Wigs,"Chemists, Toiletries & Health",Comparison,M3 3BW,Manchester,53.48099,-2.24983,20/8/2002,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52003235,12003235,Wagamama,Multiple,Restaurant - Japanese,Restaurants,Leisure,M3 3AP,Manchester,53.47977,-2.2495,12/10/2008,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52003274,12003274,Pret A Manger,Multiple,Take Away Food Shops,Cafes & Fast Food,Leisure,M3 3EB,Manchester,53.47996,-2.24987,12/10/2008,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52177873,12177873,Nails Icon,Independent,Nail Salons,"Hairdressing, Health & Beauty",Service,M3 2RJ,Manchester,53.4808,-2.24847,17/11/2009,,Spinningfield,Open,,,9/7/2020,14/7/2020
52178047,12178047,Bagel Nash,Multiple,Take Away Food Shops,Cafes & Fast Food,Leisure,M3 3EB,Manchester,53.479811,-2.249349,18/11/2009,,Spinningfield,Open,,,9/7/2020,14/7/2020
52532500,12532500,Emporio Armani,Multiple,Fashion Shops,Fashion & General Clothing,Comparison,M3 3AE,Manchester,53.481213,-2.253742,19/2/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52539412,12539412,The Slug & Lettuce,Multiple,Bars,"Bars, Pubs & Clubs",Leisure,M3 3AN,Manchester,53.48123,-2.25336,27/2/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
