PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Guardian-sector,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
50567600,10567600,Barclays Bank PLC,Multiple,Banks & Other Financial Institutions,"Banks, Financial Services & Building Societies",Other,Service,TR26 1RT,St. Ives,50.21213,-5.48127,2007-04-28,,St. Ives,Open,Open,Open,14/7/2020,14/7/2020
50631768,10631768,Tesco,Multiple,Supermarkets,"Groceries, Supermarkets & Food Shops","Groceries, supermarkets & food shops",Convenience,TR26 2PN,St. Ives,50.19834,-5.47336,2007-05-24,,St. Ives,Open,Open,Open,18/4/2011,17/7/2019
50606522,10606522,Boots The Chemist,Multiple,Chemists / Toiletries,"Chemists, Toiletries & Health",Other,Comparison,TR26 1RS,St. Ives,50.21228,-5.48059,2007-05-15,,St. Ives,Open,Open,Open,14/7/2020,14/7/2020
50872765,10872765,Cornish Bakehouse,Multiple,Bakers Shops,Bakers,Other,Convenience,TR26 1LF,St. Ives,50.21338,-5.48,2008-02-22,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50872767,10872767,Cornish Bakehouse,Multiple,Bakers Shops,Bakers,Other,Convenience,TR26 1HE,St. Ives,50.21423,-5.48028,2008-02-22,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50686270,10686270,Warrens Bakery,Multiple,Bakers Shops,Bakers,Other,Convenience,TR26 1SD,St. Ives,50.2118,-5.48116,2007-11-27,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50687309,10687309,Travis Perkins,Multiple,Builders' Merchants,"DIY, Hardware, Builder's Merchants & Household Goods",Other,Comparison,TR26 2JH,St. Ives,50.20372,-5.49326,2007-11-29,2020-07-14,St. Ives,Open,,Open,14/7/2020,14/7/2020
50688012,10688012,Fat Face,Multiple,Leisure Wear,Fashion & General Clothing,Fashion & clothing,Comparison,TR26 1AB,St. Ives,50.21299,-5.48024,2007-12-05,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918389,10918389,The Castle Inn,Independent,Public Houses & Inns,"Bars, Pubs & Clubs","Bars, pubs & clubs",Leisure,TR26 1AB,St. Ives,50.21325,-5.4805,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918400,10918400,The Painted Bird,Independent,Gift Shops,"Gifts, China & Leather Goods",Other,Comparison,TR26 1AB,St. Ives,50.21173,-5.47957,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918404,10918404,St. Ives Bookseller,Independent,Booksellers,"Books, Arts & Crafts, Stationery, Printers",Other,Comparison,TR26 1AB,St. Ives,50.21281,-5.48048,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918413,10918413,Wind An Sea,Independent,Sports Goods Shops,"Sports, Toys, Cycle Shops & Hobbies",Other,Comparison,TR26 1AB,St. Ives,50.2135,-5.48028,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918416,10918416,Beachcombers Hair & Beauty,Independent,Hair & Beauty Salons,"Hairdressing, Health & Beauty",Health & beauty,Service,TR26 1AE,St. Ives,50.21282,-5.48065,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918420,10918420,Emjems,Independent,Jewellers,"Jewellers, Clocks & Watches",Other,Comparison,TR26 1AH,St. Ives,50.212,-5.47961,2008-04-09,,St. Ives,Open,,Open,14/7/2020,15/7/2020
50918421,10918421,Half Moon Gallery,Independent,Art Galleries & Fine Art Dealers,"Books, Arts & Crafts, Stationery, Printers",Other,Comparison,TR26 1AH,St. Ives,50.21179,-5.47934,2008-04-09,,St. Ives,Open,,Open,14/7/2020,14/7/2020
50918426,10918426,St. Ives Framing,Independent,Picture & Photo Framers,"Books, Arts & Crafts, Stationery, Printers",Other,Comparison,TR26 1AH,St. Ives,50.21192,-5.47959,2008-04-09,2020-07-14,St. Ives,Open,,,14/7/2020,14/7/2020
